Rang,Etablissement,Commune,Note,Filière,Texte
18,Ipesup - Prépacom,Paris 6e,"15,9",ECG,"{'HEC': 5, 'Essec': 10, 'ESCP': 16, 'Edhec': 20, 'EM Lyon': 12, 'Skema': 11, 'Neoma': 3, 'Grenoble EM': 1}"
19,Saint-Michel de Picpus,Paris 12e,"15,8",ECG,"{'HEC': 4, 'Essec': 10, 'ESCP': 10, 'Edhec': 19, 'EM Lyon': 10, 'Skema': 12, 'Audencia': 8, 'Neoma': 14, 'Grenoble EM': 1, 'Kedge': 2}"
20,MyPrepa - Académie MP,Paris 15e,"15,6",ECG,"{'Essec': 6, 'ESCP': 4, 'Edhec': 3, 'EM Lyon': 5, 'Skema': 4, 'Audencia': 3, 'Neoma': 3, 'Grenoble EM': 1, 'Montpellier BS': 1}"
21,Saint-Jean,Douai,"15,5",ECG,"{'HEC': 6, 'Essec': 33, 'ESCP': 29, 'Edhec': 43, 'EM Lyon': 28, 'Skema': 21, 'Audencia': 21, 'Neoma': 8, 'Grenoble EM': 5, 'Kedge': 6, 'Rennes SB': 2, 'ICN': 3, 'Ensae': 4, 'ESM Saint-Cyr': 4}"
21,Saint-Jean de Passy,Paris 16e,"15,5",ECG,"{'HEC': 5, 'Essec': 6, 'ESCP': 7, 'Edhec': 8, 'EM Lyon': 6, 'Skema': 13, 'Audencia': 3, 'Neoma': 1, 'Grenoble EM': 3, 'Kedge': 1}"
21,Saint-Paul,Lille,"15,5",ECG,"{'HEC': 3, 'Essec': 8, 'ESCP': 4, 'Edhec': 14, 'EM Lyon': 8, 'Skema': 8, 'Audencia': 6, 'Neoma': 3, 'Kedge': 1, 'TBS Education': 2}"
24,Notre-Dame des Minimes,Lyon 5e,"15,4",ECG,"{'HEC': 1, 'ESCP': 6, 'Edhec': 9, 'EM Lyon': 15, 'Skema': 16, 'Audencia': 11, 'Neoma': 6, 'Grenoble EM': 3, 'Kedge': 4, 'Montpellier BS': 1}"
25,Ampère,Lyon 2e,"15,3",ECG,"{'HEC': 1, 'Essec': 9, 'ESCP': 7, 'Edhec': 9, 'EM Lyon': 19, 'Skema': 13, 'Audencia': 9, 'Neoma': 17, 'Grenoble EM': 16, 'Kedge': 7, 'ENS Paris-Saclay': 1, 'Ensae': 1}"
25,Champollion,Grenoble,"15,3",ECG,"{'HEC': 1, 'Essec': 7, 'ESCP': 7, 'Edhec': 5, 'EM Lyon': 8, 'Skema': 10, 'Audencia': 7, 'Neoma': 7, 'Grenoble EM': 12, 'Kedge': 1}"
25,René Cassin,Bayonne,"15,3",ECG,"{'Essec': 2, 'ESCP': 2, 'Edhec': 6, 'EM Lyon': 7, 'Skema': 2, 'Audencia': 13, 'Neoma': 6, 'Grenoble EM': 2, 'Kedge': 2}"
28,Chateaubriand,Rennes,"15,1",ECG,"{'HEC': 3, 'Essec': 2, 'ESCP': 7, 'Edhec': 12, 'EM Lyon': 13, 'Skema': 17, 'Audencia': 12, 'Neoma': 4, 'Grenoble EM': 6, 'Kedge': 1, 'TBS Education': 1, 'Rennes SB': 1}"
28,Pierre de Fermat,Toulouse,"15,1",ECG,"{'HEC': 2, 'ESCP': 6, 'Edhec': 8, 'EM Lyon': 9, 'Skema': 14, 'Audencia': 7, 'Neoma': 9, 'Grenoble EM': 4, 'Kedge': 2, 'Montpellier BS': 1, 'ENS Paris-Saclay': 1}"
30,Lavoisier,Paris 5e,15,ECG,"{'Essec': 4, 'ESCP': 6, 'Edhec': 4, 'EM Lyon': 5, 'Skema': 3, 'Audencia': 2, 'Neoma': 3, 'Grenoble EM': 4, 'Kedge': 2, 'ICN': 1}"
31,Joffre,Montpellier,"14,8",ECG,"{'HEC': 2, 'Essec': 3, 'ESCP': 1, 'Edhec': 3, 'EM Lyon': 4, 'Skema': 9, 'Audencia': 5, 'Neoma': 6, 'Grenoble EM': 1, 'Kedge': 3}"
31,Michelet,Vanves,"14,8",ECG,"{'HEC': 2, 'Essec': 3, 'ESCP': 2, 'Edhec': 5, 'EM Lyon': 6, 'Skema': 4, 'Audencia': 3, 'Neoma': 7, 'Grenoble EM': 1}"
31,Nelson Mandela,Nantes,"14,8",ECG,"{'HEC': 2, 'Essec': 2, 'ESCP': 3, 'Edhec': 3, 'EM Lyon': 4, 'Skema': 6, 'Audencia': 6, 'Neoma': 7, 'Grenoble EM': 2, 'Kedge': 4, 'ICN': 1}"
34,Marcelin Berthelot,Saint-Maur-des-Fossés,"14,6",ECG,"{'HEC': 3, 'Essec': 4, 'ESCP': 6, 'Edhec': 4, 'EM Lyon': 9, 'Skema': 8, 'Audencia': 7, 'Neoma': 7, 'Grenoble EM': 4, 'Kedge': 3, 'Ensae': 2}"
34,Montaigne,Paris 6e,"14,6",ECG,"{'HEC': 4, 'ESCP': 6, 'Edhec': 11, 'EM Lyon': 4, 'Skema': 8, 'Audencia': 12, 'Neoma': 7, 'Grenoble EM': 6, 'Kedge': 6, 'TBS Education': 6, 'Rennes SB': 1, 'Inseec': 1, 'Ensae': 1}"
34,Saint-Just,Lyon 5e,"14,6",ECG,"{'HEC': 1, 'Essec': 1, 'ESCP': 5, 'Edhec': 7, 'EM Lyon': 5, 'Skema': 8, 'Audencia': 11, 'Neoma': 9, 'Grenoble EM': 11, 'Kedge': 4, 'TBS Education': 1, 'Montpellier BS': 1, 'Burgundy SB': 1}"
